"DOCTNMBR","AGENCY","ACCDDATE","ACCDHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTRCTD","IMPAIRED","INTRFLAG","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","65+DRVR","GOVTPROP"
01L0655JNG,"MADISON POLICE DEPARTMENT","01/28/2017","21","DANE","13","MADISON","C","1373","ERIN ST","","CROSSOVER USH 151","0","","43.059886","-89.400846","C","0","1","1","2","4","","","Y","","","","","","","Y","","","","Y","","","","",""
01L02RXHKB,"MADISON POLICE DEPARTMENT","02/21/2017","7","DANE","13","MADISON","C","1373","TREE LN","","MINERAL POINT RD","0","","43.060647","-89.519792","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0X84FBK,"MADISON POLICE DEPARTMENT","02/26/2017","14","DANE","13","MADISON","C","1373","WILLIAMSON ST","","CROSSOVER USH 151",".01","E","43.076157","-89.375416","A","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L06ZV8W2,"MADISON POLICE DEPARTMENT","02/28/2017","21","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N PARK ST","0","","0","0","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L067MLW4,"MADISON POLICE DEPARTMENT","03/18/2017","22","DANE","13","MADISON","C","1373","151 N SHORE DR","N","JOHN NOLEN DR","0","","43.066971","-89.385906","O","0","0","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","Y",""
01L07FFP3W,"MADISON POLICE DEPARTMENT","03/20/2017","8","DANE","13","MADISON","C","1373","012 RAMP USH 12 TO SCHROEDER RD","E","SCHROEDER RD","0","","43.0465","-89.475001","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0W3KD7S,"MADISON POLICE DEPARTMENT","03/21/2017","7","DANE","13","MADISON","C","1373","ABERG AVE","","SHOPKO DR","0","","43.110623","-89.346794","B","0","1","1","1","9","","","Y","","","","","","","Y","","","","","","","","",""
01L0TS2D6W,"MADISON POLICE DEPARTMENT","03/28/2017","20","DANE","13","MADISON","C","1373","W WASHINGTON AVE","","N BROOM ST","0","","43.071302","-89.388827","B","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0W78HK6,"MADISON POLICE DEPARTMENT","04/08/2017","20","DANE","13","MADISON","C","1373","S GAMMON RD","","SCHROEDER RD","0","","43.046219","-89.503227","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L02PGFBH,"MADISON POLICE DEPARTMENT","04/10/2017","14","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N RANDALL AVE","0","","43.073284","-89.409005","C","0","1","1","2","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0X84FBZ,"MADISON POLICE DEPARTMENT","04/10/2017","13","DANE","13","MADISON","C","1373","W JOHNSON ST","","N PARK ST","0","","43.072127","-89.400607","B","0","1","1","2","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0W78HK7,"MADISON POLICE DEPARTMENT","04/11/2017","8","DANE","13","MADISON","C","1373","FLAMBEAU RD","","MS","0","","43.077976","-89.470077","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L05Z0C41,"MADISON POLICE DEPARTMENT","04/14/2017","23","DANE","13","MADISON","C","1373","S BROOM ST","","W WASHINGTON AVE","0","","43.071311","-89.388945","C","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L07K4SGB,"MADISON POLICE DEPARTMENT","04/20/2017","17","DANE","13","MADISON","C","1373","RAMP USH 12 TO S GAMMON RD","W","CONNECTOR USH 12 TO S GAMMON R","0","","43.053892","-89.502602","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L00W4SGH,"MADISON POLICE DEPARTMENT","04/25/2017","15","DANE","13","MADISON","C","1373","VONDRON RD","","DOLORES DR","0","","43.070216","-89.291449","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0XBLHKM,"MADISON POLICE DEPARTMENT","04/26/2017","14","DANE","13","MADISON","C","1373","151 N SHORE DR","N","JOHN NOLEN DR","0","","43.066971","-89.385905","C","0","1","1","1","9","","","Y","","","","","","","Y","","","","","","","","",""
01L0WHWRB3,"MADISON POLICE DEPARTMENT","04/29/2017","21","DANE","13","MADISON","C","1373","W JOHNSON ST","","N LAKE ST","0","","43.072023","-89.397461","B","0","1","1","5","36","","","Y","","","","","","","Y","","","","","","","","",""
01L06H1TKH,"MADISON POLICE DEPARTMENT","05/01/2017","12","DANE","13","MADISON","C","1373","N RANDALL AVE","","UNIVERSITY AVE","0","","43.073257","-89.409004","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
59L05Z0C3D,"UW POLICE - MADISON","05/04/2017","20","DANE","13","MADISON","C","1373","LINDEN DR","","BABCOCK DR","0","","43.075168","-89.41273","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0C0TWS9,"MADISON POLICE DEPARTMENT","05/05/2017","17","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N LAKE ST","0","","43.073142","-89.397437","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L03W8HKX,"MADISON POLICE DEPARTMENT","05/10/2017","18","DANE","13","MADISON","C","1373","S MIDVALE BLVD","","ODANA RD","0","","43.050125","-89.451118","B","0","1","1","7","1","","","Y","","","","","","","Y","","Y","","","","","","Y",""
01L067MLWT,"MADISON POLICE DEPARTMENT","05/26/2017","16","DANE","13","MADISON","C","1373","HAWTHORNE CT","","UNIVERSITY AVE","0","","43.073322","-89.396612","C","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0CJWD6R,"MADISON POLICE DEPARTMENT","05/30/2017","17","DANE","13","MADISON","C","1373","N WINGRA DR","","HAYWOOD DR","0","","43.056827","-89.403692","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0WTS26Q,"MADISON POLICE DEPARTMENT","05/30/2017","18","DANE","13","MADISON","C","1373","WINNEBAGO ST","","RIVERSIDE DR","0","","43.088443","-89.357984","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L05QT5LB,"MADISON POLICE DEPARTMENT","06/01/2017","18","DANE","13","MADISON","C","1373","ABERG AVE","","LOFTSGORDON","0","","0","0","B","0","1","1","5","25","","","Y","","","","","","","Y","","Y","","","","","","",""
01L0X5NC4L,"MADISON POLICE DEPARTMENT","06/14/2017","14","DANE","13","MADISON","C","1373","N BLOUNT ST","","E GORHAM ST","0","","43.082535","-89.380518","C","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L03W8HLM,"MADISON POLICE DEPARTMENT","06/30/2017","11","DANE","13","MADISON","C","1373","ODANA RD","","TOKAY BLVD","0","","43.051408","-89.481405","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0713B1J,"MADISON POLICE DEPARTMENT","07/03/2017","14","DANE","13","MADISON","C","1373","FREMONT AVE","","FARRAGUT ST","0","","43.117722","-89.364916","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0C5S27J,"MADISON POLICE DEPARTMENT","07/11/2017","13","DANE","13","MADISON","C","1373","151 S PARK ST","S","W WINGRA DR","0","","43.049217","-89.394125","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0D7W13C,"MADISON POLICE DEPARTMENT","07/13/2017","15","DANE","13","MADISON","C","1373","N HAMILTON ST","","E JOHNSON ST","0","","43.079042","-89.383896","B","0","1","1","6","1","","","Y","","","","","","","Y","","Y","","","","","","",""
01L0WSK14L,"MADISON POLICE DEPARTMENT","07/20/2017","16","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","N","CROSSOVER USH 151","0","","43.098338","-89.351035","B","0","1","1","6","4","","","Y","","","","","","","Y","","Y","","","","","","Y",""
01L0245WSZ,"MADISON POLICE DEPARTMENT","07/22/2017","12","DANE","13","MADISON","C","1373","FRITZ AVENUE","","UNIVERSITY AVENUE","0","","0","0","B","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0778HK9,"MADISON POLICE DEPARTMENT","07/28/2017","12","DANE","13","MADISON","C","1373","OLD SAUK RD","","JUNCTION RD","0","","43.074824","-89.526984","B","0","1","1","6","1","","","Y","","","","","Y","","Y","","Y","","","","","","",""
01L07K4SH7,"MADISON POLICE DEPARTMENT","08/01/2017","18","DANE","13","MADISON","C","1373","RAYMOND RD","","CAMERON DR","0","","43.031917","-89.48314","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0WHWRBB,"MADISON POLICE DEPARTMENT","08/03/2017","13","DANE","13","MADISON","C","1373","N RANDALL AVE","","ENGINEERING DR",".02","N","43.072473","-89.408995","B","0","1","1","5","9","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0CMCGGP,"MADISON POLICE DEPARTMENT","08/04/2017","15","DANE","13","MADISON","C","1373","MANCHESTER RD","","PD",".01","S","43.015587","-89.490782","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0W3KD95,"MADISON POLICE DEPARTMENT","08/08/2017","8","DANE","13","MADISON","C","1373","N BEDFORD ST","","W WASHINGTON AVE","0","","43.068907","-89.392546","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","Y",""
01L1C3B00F,"MADISON POLICE DEPARTMENT","08/11/2017","16","DANE","13","MADISON","C","1373","N LAKE ST","","W DAYTON ST","0","","43.070901","-89.397499","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L02PGFBZ,"MADISON POLICE DEPARTMENT","08/17/2017","2","DANE","13","MADISON","C","1373","PARR ST","","CROSSOVER USH 151",".02","E","43.05702","-89.398363","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","Y",""
5QL08F2KRF,"SHOREWOOD HILLS POLICE DEPARTM","09/07/2017","13","DANE","13","MADISON","C","1373","LOCUST DR","","HIGHBURY RD","0","","43.076901","-89.448772","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L04K13DC,"MADISON POLICE DEPARTMENT","09/11/2017","15","DANE","13","MADISON","C","1373","NELSON RD","","CONNECTOR USH 151 TO NELSON RD","0","","43.144538","-89.28263","C","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0WHWRBF,"MADISON POLICE DEPARTMENT","09/12/2017","14","DANE","13","MADISON","C","1373","DIVISION ST","","EASTWOOD DR","0","","43.092487","-89.351043","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L021PTJX,"MADISON POLICE DEPARTMENT","09/13/2017","8","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N RANDALL AVE","0","","43.073374","-89.409008","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L1C3B00M,"MADISON POLICE DEPARTMENT","09/15/2017","19","DANE","13","MADISON","C","1373","RUSSELL ST","","EASTWOOD DR","0","","43.090536","-89.354561","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L07K4SHX,"MADISON POLICE DEPARTMENT","09/18/2017","8","DANE","13","MADISON","C","1373","N RANDALL AVE","","UNIVERSITY AVE","0","","43.07329","-89.409005","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L04K13DJ,"MADISON POLICE DEPARTMENT","09/20/2017","17","DANE","13","MADISON","C","1373","BB","","DAVIDSON ST","0","","43.082715","-89.324489","B","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","",""
59L05JN00F,"UW POLICE - MADISON","09/20/2017","7","DANE","13","MADISON","C","1373","OBSERVATORY DR","","WALNUT ST","0","","43.076881","-89.425074","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0WQ2XW1,"MADISON POLICE DEPARTMENT","09/22/2017","15","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N RANDALL AVE","0","","43.073284","-89.409005","A","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","Y","","",""
01L07MLVP4,"MADISON POLICE DEPARTMENT","09/25/2017","17","DANE","13","MADISON","C","1373","COMMERCIAL AVE","","NORTH LAWN AVE","0","","43.106784","-89.345332","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0NMQKV4,"MADISON POLICE DEPARTMENT","09/30/2017","12","DANE","13","MADISON","C","1373","051","S","AB","0","","43.073378","-89.309913","A","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","Y",""
01L021PTK9,"MADISON POLICE DEPARTMENT","10/02/2017","20","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N MILLS ST","0","","43.073315","-89.404096","O","0","0","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0X84FD7,"MADISON POLICE DEPARTMENT","10/04/2017","7","DANE","13","MADISON","C","1373","S FIRST ST","","EASTWOOD DR","0","","43.089852","-89.356067","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L07K4SJ2,"MADISON POLICE DEPARTMENT","10/06/2017","16","DANE","13","MADISON","C","1373","HIGHLAND AVE","","VAN HISE AVE","0","","43.06982","-89.428641","B","0","1","1","3","1","","","Y","","","","","","","Y","","Y","","","","","","",""
01L0597RBX,"MADISON POLICE DEPARTMENT","10/08/2017","17","DANE","13","MADISON","C","1373","W BADGER RD","","D","0","","43.038615","-89.403949","A","0","1","1","2","1","","","Y","","","","","","","Y","","","","Y","","","","",""
01L044NQ88,"MADISON POLICE DEPARTMENT","10/10/2017","18","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N MILLS ST","0","","43.073224","-89.404094","B","0","1","1","5","9","","","Y","","","","","","","Y","","","","","","","Y","",""
5JL192T5NH,"TOWN OF MADISON POLICE DEPT","10/19/2017","17","DANE","13","MADISON","T","1316","MM","","MC",".01","S","43.046584","-89.374385","C","0","1","3","2","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0X1Z7RS,"MADISON POLICE DEPARTMENT","10/20/2017","21","DANE","13","MADISON","C","1373","E JOHNSON ST","","N FRANKLIN ST","0","","43.080048","-89.382453","C","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L021PTKM,"MADISON POLICE DEPARTMENT","10/27/2017","21","DANE","13","MADISON","C","1373","N WEBSTER ST","","E WASHINGTON AVE","0","","43.076129","-89.382119","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0C884H5,"MADISON POLICE DEPARTMENT","11/07/2017","17","DANE","13","MADISON","C","1373","DIVISION ST","","EASTWOOD DR","0","","43.092368","-89.351046","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0C0TWTV,"MADISON POLICE DEPARTMENT","11/13/2017","20","DANE","13","MADISON","C","1373","W WILSON ST","","S BROOM ST",".01","S","43.069075","-89.386242","O","0","0","1","2","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0WQ2XW6,"MADISON POLICE DEPARTMENT","11/28/2017","18","DANE","13","MADISON","C","1373","E MIFFLIN ST","","N HANCOCK ST","0","","43.07825","-89.381454","O","0","0","1","3","1","","","Y","","","","","","","Y","","Y","","","","","","",""
01L05QT5MQ,"MADISON POLICE DEPARTMENT","11/30/2017","8","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N PARK ST","0","","43.073263","-89.400532","C","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
59L04VWD6R,"UW POLICE - MADISON","12/05/2017","17","DANE","13","MADISON","C","1373","WALNUT ST (2)","","OBSERVATORY DR (1)","0","N","43.076679","-89.425343","B","0","1","1","6","1","","","Y","","","","","","","Y","","Y","","","","","","Y",""
01L0W8HJNQ,"MADISON POLICE DEPARTMENT","12/12/2017","6","DANE","13","MADISON","C","1373","113 1ST ST","S","E JOHNSON ST (1)",".01","E","43.094106","-89.361984","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L04FB02J,"MADISON POLICE DEPARTMENT","01/10/2018","19","DANE","13","MADISON","C","1373","DIVISION ST","","EASTWOOD DR","0","","43.092462","-89.351089","B","0","1","1","5","1","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0F68VP2,"MADISON POLICE DEPARTMENT","02/01/2018","8","DANE","13","MADISON","C","1373","E JOHNSON ST (1)","S","113","0","","43.094171","-89.362076","O","0","0","1","5","4","","","Y","","","","","","","Y","","","","Y","","","","",""
01L0X84FFV,"MADISON POLICE DEPARTMENT","02/24/2018","19","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","N FRANCES ST","0","","43.073187","-89.395831","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0CS9LXT,"MADISON POLICE DEPARTMENT","02/27/2018","16","DANE","13","MADISON","C","1373","N BASSETT ST","","W DAYTON ST","0","","43.071596","-89.392659","B","0","1","1","6","4","","","Y","","","","","","","Y","","Y","","","","","","",""
01L0W78HMJ,"MADISON POLICE DEPARTMENT","03/10/2018","22","DANE","13","MADISON","C","1373","MINERAL POINT RD","","S GAMMON RD","0","","0","0","A","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L07MLVQR,"MADISON POLICE DEPARTMENT","03/16/2018","7","DANE","13","MADISON","C","1373","E JOHNSON ST (1)","","NORTH ST",".01","E","43.103244","-89.350216","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0CR2KRW,"MADISON POLICE DEPARTMENT","03/21/2018","8","DANE","13","MADISON","C","1373","S. BROOKS ST.","","ERIN ST.","0","","0","0","A","0","1","1","5","9","","","Y","","Y","","","","","Y","","","","","","","","",""
5JL192T5Q8,"TOWN OF MADISON POLICE DEPT","03/23/2018","6","DANE","13","MADISON","T","1316","GRANDVIEW BLVD","","W BELTLINE FRONTAGE RD S (1)",".01","S","43.035016","-89.433431","B","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","Y",""
01L048CTLT,"MADISON POLICE DEPARTMENT","04/05/2018","21","DANE","13","MADISON","C","1373","UNIVERSITY AVE","","BROOKS ST","0","","0","0","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L07LCTMN,"MADISON POLICE DEPARTMENT","04/25/2018","19","DANE","13","MADISON","C","1373","ALLIED DR","","LOVELL LN",".01","N","43.026916","-89.459741","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0FZQKRM,"MADISON POLICE DEPARTMENT","04/27/2018","8","DANE","13","MADISON","C","1373","WILLIAMSON ST","","S LIVINGSTON ST","0","","43.078228","-89.371483","C","0","1","1","1","4","","","Y","","","","","","","Y","","","","Y","","","","",""
59L06WD6N8,"UW POLICE - MADISON","05/02/2018","7","DANE","13","MADISON","C","1373","OBSERVATORY DR (2)","","WALNUT ST (1)","0","","43.076794","-89.425071","O","0","0","1","6","1","","","Y","","","","","","","Y","","Y","","","","","","Y",""
01L0580QBW,"MADISON POLICE DEPARTMENT","05/07/2018","8","DANE","13","MADISON","C","1373","W OLIN AVE","","LAKE CT (1)","0","","43.053839","-89.387101","B","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","","Y"
01L0W3KDBB,"MADISON POLICE DEPARTMENT","05/14/2018","8","DANE","13","MADISON","C","1373","113 PACKERS AVE","S","N SIXTH ST","0","","43.103551","-89.3583","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L07MLVR7,"MADISON POLICE DEPARTMENT","05/17/2018","7","DANE","13","MADISON","C","1373","N SECOND ST","N","113","0","","43.095489","-89.36039","B","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0245WVQ,"MADISON POLICE DEPARTMENT","05/24/2018","7","DANE","13","MADISON","C","1373","VERONA FRONTAGE ROAD","","SOUTH WEST BIKE PATH","0","","0","0","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","Y",""
01L091L4GL,"MADISON POLICE DEPARTMENT","05/31/2018","15","DANE","13","MADISON","C","1373","E WASHINGTON AVE","S","151 S BLAIR ST","0","","43.07851","-89.378694","A","0","1","1","6","1","","","Y","","","","","","","Y","","Y","","","","","","",""
01L067MM0T,"MADISON POLICE DEPARTMENT","05/31/2018","17","DANE","13","MADISON","C","1373","N PINCKNEY ST","","E JOHNSON ST (1)",".01","N","43.077745","-89.385866","B","0","1","1","5","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L048CTMJ,"MADISON POLICE DEPARTMENT","06/05/2018","16","DANE","13","MADISON","C","1373","PARK STREET","","ERIN STREET","0","S","0","0","O","0","0","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
02L0XWW18J,"DANE COUNTY SHERIFF","06/10/2018","12","DANE","13","MADISON","C","1373","COMMERCIAL AVE","","FAIR OAKS AVE",".01","E","43.106255","-89.330499","A","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0778HLN,"MADISON POLICE DEPARTMENT","06/12/2018","16","DANE","13","MADISON","C","1373","W GORHAM ST","","N HENRY ST",".01","E","43.075467","-89.390747","A","0","1","1","6","1","","","Y","","","","","Y","","Y","","Y","","","","","","",""
01L0CR2KSG,"MADISON POLICE DEPARTMENT","06/13/2018","15","DANE","13","MADISON","C","1373","N PARK ST","","W DAYTON ST",".01","N","43.071062","-89.40075","B","0","1","1","5","1","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0DG26PT,"MADISON POLICE DEPARTMENT","06/13/2018","7","DANE","13","MADISON","C","1373","W DAYTON ST","","N FRANCES ST","0","","43.070862","-89.395904","B","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0CJWD8J,"MADISON POLICE DEPARTMENT","06/19/2018","17","DANE","13","MADISON","C","1373","S RANDALL AVE","","DRAKE ST","0","","43.062019","-89.408992","C","0","1","1","5","1","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0CVRP6W,"MADISON POLICE DEPARTMENT","06/28/2018","11","DANE","13","MADISON","C","1373","MONROE ST","","N RANDALL AVE",".01","W","43.070087","-89.409136","B","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0580QCB,"MADISON POLICE DEPARTMENT","06/29/2018","15","DANE","13","MADISON","C","1373","FISH HATCHERY RD","","W WINGRA DR","0","","43.050311","-89.399909","A","0","1","1","1","9","","","Y","","","","","","","Y","","","","","","","","",""
01L0X9CGGG,"MADISON POLICE DEPARTMENT","07/03/2018","16","DANE","13","MADISON","C","1373","E JOHNSON ST (1)","","N PINCKNEY ST","0","W","43.077652","-89.385843","B","0","1","1","5","1","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0CF691M,"MADISON POLICE DEPARTMENT","07/08/2018","19","DANE","13","MADISON","C","1373","PFLAUM RD","","BB MONONA DR","0","","43.062176","-89.326174","B","0","1","1","1","4","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0WSK182,"MADISON POLICE DEPARTMENT","07/10/2018","11","DANE","13","MADISON","C","1373","ATWOOD AVE","","DENNETT DR","0","","43.088413","-89.328098","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","Y",""
01L0DG26Q4,"MADISON POLICE DEPARTMENT","07/11/2018","8","DANE","13","MADISON","C","1373","W JOHNSON ST","","N BASSETT ST","0","","43.072271","-89.393543","B","0","1","1","1","1","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0F3SSH1,"MADISON POLICE DEPARTMENT","07/12/2018","16","DANE","13","MADISON","C","1373","HAMMERSLEY RD","","S WHITNEY WAY","0","","43.039163","-89.477616","B","0","1","1","5","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0X1Z7V7,"MADISON POLICE DEPARTMENT","07/19/2018","17","DANE","13","MADISON","C","1373","E JOHNSON ST","","N PINCKNEY ST","0","","43.077687","-89.38579","A","0","1","1","5","1","","","Y","","","","","Y","","Y","","","","","","","","",""
01L0C0TWW9,"MADISON POLICE DEPARTMENT","07/25/2018","21","DANE","13","MADISON","C","1373","MACARTHUR RD","N","151 E WASHINGTON AVE",".01","E","43.117278","-89.323589","C","0","1","1","1","4","","","Y","","","","","","","Y","","","","","","","","",""
01L0VXM7Z3,"MADISON POLICE DEPARTMENT","07/26/2018","16","DANE","13","MADISON","C","1373","151 S PARK ST","N","VILAS AVE (1)",".01","S","43.063039","-89.400694","O","0","0","1","5","1","","","Y","","","","","","","Y","","","","","","","","",""
01L0G74SG8,"MADISON POLICE DEPARTMENT","07/26/2018","22","DANE","13","MADISON","C","1373","E GORHAM ST","","N PATERSON ST",".02","W","43.08488","-89.377328","C","0","1","1","2","4","","","Y","","","","","","","Y","","","","","","","","",""
